art,t,bpm,s
DragonForce,Through The Fire And Flames,199.97,1752
96neko,Uso no Hibana,188,606360
Elmo and Cookie Monster,Cookie-Butter-Choco-Cookie,136,542081
nao,Towa naru Kizuna to Omoi no Kiseki,290,601392
9mm Parabellum Bullet,Inferno,195,502553
Suzuki Konomi,Redo,190,545351
Hitsuji to Ojisan,XENO,186,193373
Shuki Levy,The Super Mario Bros. Super Show!,198.1,81653
Will Stetson,Harumachi Clover (Swing Arrangement) [Dictate Edit],170,842412
Tatsh,IMAGE -MATERIAL- <Version 0>,260,432720
subplaid,If you went out with friends in a way,185,1532268
55x55,MY REZHEM KINOLENTY (feat. Cut The Crap),125,816264
ClariS,SHIORI -TV size mix-,176,733027
Icon For Hire,Make a Move (Speed Up Ver.),202.54,765778
The Living Tombstone,It's Been So Long,96,305281
Drop,Granat,180.96,333426
Linked Horizon,Shoukei to Shikabane no Michi (TV Size),178,963873
Maffalda,Feliz Pascoa pra todos voces apesar de ninguem ter me mandado chocolates,70,401604
yes we cant,wh,130,295480
Brad Breeck,Gravity Falls Theme Song,165.8,527431
toby fox,sans.,128,584575
Chatie,At Least (Extended Edit),100,2058169
Drop,Granat,180.96,497769
DystopiaGround,AugoEidEs,207,418826
LiSA,ADAMAS (TV Size),191,867287
Akiyama Uni,Kanpan Tasogare Shinbun,180,633255
Jeff Williams,When It Falls (feat. Casey Lee Williams),231,366298
"Chito (CV: Minase Inori), Yuuri (CV: Kubo Yurika)",More One Night (Assertive Hardcore Bootleg) [short ver.],170,781081
VINXIS,Sidetracked Day,188,2203299
ClariS,SHIORI -TV size mix-,176,653495
Co shu Nie,asphyxia (TV edit),165,758101
void feat. Komatsuna,Akatsuki no Tsuki,176,297668
Krfawy,Kac (TV Size),112,273355
Utada Hikaru,Beautiful World,115,8836
I MY ME MINE,Troublemaker,186,368989
Yousei Teikoku,Kokou no Sousei,240,28705
dj TAKA,quaver,186,879085
nano,Bull's Eye (TV Size),197,1604062
SakiZ,"In the soil, daily life with a sardine",200,1129597
KISIDA KYODAN & THE AKEBOSI ROCKETS,night birds (Cut Ver.),184,1374425
saradisk,220 - Kumano,200,471346
ClariS,Hitorigoto -TV MIX-,165,624544
"Fear, and Loathing in Las Vegas",Just Awake (TV Size),191,1498429
Parry Gripp,I Wanna Guinea Pig For Christmas,190,1325929
t+pazolite,Refactoring Travel (feat. Nanahira) (Cut Ver.),240,1493251
Kenshi Yonezu,KICK BACK (TV Size),204,1864673
XXXTENTACION,SAD!,75,757410
Kaneko Chiharu,iLLness LiLin,280,777109
DECO*27 feat. marina,Aimai Elegy,210,43248
Brad Breeck,Gravity Falls Main Title Theme,165.8,293039
