m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,ar,accuracy,cs,drain
0,767046,25345.55,293.67,1101,[4K] Regret,347650,319,5.48188,605669,89453,407236,5,8.5,4,8.5
0,992512,15446.71,467.97,334,[4K] Cataclysmic Hypernova,400078,402,6.54089,816454,88514,408174,5,8,4,8.2
256,992512,8927.22,289.08,1106,[4K] Cataclysmic Hypernova,400078,402,6.54089,816454,88514,408174,5,8,4,8.2
0,689769,7708.61,270.23,1294,4K Capsaicin,303998,333,5.13145,551289,94570,402151,5,8,4,8
0,641637,6818.04,133.28,3619,4K Another,283841,96,3.83054,542796,96363,400572,5,8.5,4,8.5
64,767046,6757.25,628.25,114,[4K] Regret,347650,319,5.48188,605669,89453,407236,5,8.5,4,8.5
0,4983215,6267.35,416.13,435,[4K] FANTASY,2324877,348,6.26155,62861,9443,487136,5,8,4,8
0,905576,5774.12,157.15,3002,[4K] Triumph,347650,319,4.20875,533678,89453,407236,5,8,4,8
0,1087293,5093.7,150.33,3210,[4K] EXPERT,511480,115,4.01187,687588,84496,412225,5,8,4,8
0,739841,4488.01,147.02,3140,[4K] Another,334363,113,3.96065,381434,95247,401529,5,8,4,8
0,5425233,3947.51,363.2,596,[4K] Ayase vs Ferdi's Galactic Annihilation,2474975,401,5.83887,33698,5169,491519,5,8.5,4,9
0,985879,3932.1,197.94,2448,[4K] MX,460324,188,4.5336,264555,85350,411326,5,8,4,8
0,1214524,3897.27,157.76,3002,[4K] Insane,573280,181,4.08173,308709,74035,422642,5,8,4,8.5
256,5540799,3363.91,591.01,126,[4K] Deranged Desire // feat. Auros,2513401,395,8.81157,25340,3927,492773,5,7,4,8
0,1087294,3332.95,193.94,2260,[4K] MASTER,511480,115,4.63506,451198,84496,412225,5,8.5,4,8.5
0,975667,3195.99,205.87,2399,[4K] Lightning,455164,362,4.71503,452528,85134,411543,5,8.5,4,8.8
0,5170433,3098.03,292.82,1101,[4K] x_x,2389146,211,5.36129,89866,9373,487309,9,8,4,8
0,2149349,3024.96,274.28,1294,[4K] Party,1027900,195,5.1603,180431,38482,458197,5,8.5,4,9
