m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,ar,accuracy,cs,drain
0,1988753,9279.94,200.44,4702,Radiance,952409,66,5.45577,4714236,64363,432333,9.4,9,3.8,5.2
0,2025942,8035.19,212.74,4643,Lucid,968171,53,5.60785,2835900,63907,432833,9.3,9,3.8,5.2
0,738063,7947.24,207.46,5155,Lust's Insane,320118,68,5.72269,1499171,93752,402956,9.3,8,4,7
0,2014469,7613.22,188.97,6011,Horizon,962088,83,5.21208,3121947,63974,432708,9.2,9,3.8,5.5
0,1059388,7009.74,171.9,7067,Extra,497769,42,5.04843,2456623,87003,409724,9.2,8.7,4.6,7
0,2245774,6443.65,251.48,3477,Gift,1073074,31,6.04332,1763127,58553,438118,9.4,9.2,4,6.2
0,954692,6111,236.28,3666,Shiawase!!,444335,90,5.71519,2495618,89509,407187,9.5,9,4,7
0,1570203,4828.9,325.96,2144,Determination,744772,86,6.27703,730107,64171,432500,9.3,9.5,4,6
0,2118443,4655.45,169.77,7067,Reform's Filthy Expert,983911,95,5.00701,3639024,60350,436375,9.1,9,3.5,5
0,2014470,4560.7,116.59,7133,Insane,962088,83,4.52698,2989638,63974,432708,9,8,3.6,5
0,1627148,4510.23,281.12,2938,Endless Fear,765778,38,6.09775,2110437,72840,423748,9.5,9.4,4,5.2
0,2222070,4465.46,221.69,4423,Christmas Drift,1061287,31,5.83282,1545408,58766,437761,9.3,9,4.2,6
64,1711830,4449.78,172.59,7067,CUT THE INSANE,816264,38,3.66756,5043384,67751,428978,8,7.5,4.2,5.5
0,2330357,4296.2,315.51,2085,Mitsuboshi Jump!,1115477,228,5.906,684387,53707,442964,9.4,9.2,3.8,5.5
0,2025938,4051.27,158.21,5745,Extra,968171,53,5.14361,2746098,63907,432833,9.2,8.6,3.8,5
0,930249,4046.39,376.16,1519,Sky Arrow,384772,163,6.38919,593433,86447,410276,9.5,9,4.2,7
0,735272,3724.47,253.16,3477,Tatoe,325158,79,5.9403,1166852,96203,400560,9.5,9,4,6.5
0,1988748,3444.47,162.46,6322,Extra,952409,66,5.0774,2621484,64363,432333,9.2,8.5,3.8,5
0,2129143,3314.17,316.79,2085,aAaAaaAaAaaA,1017271,104,6.13302,885249,60614,436120,9.4,9.4,4.2,5.2
0,814293,3287.31,164.23,6322,Divine,371128,121,4.93542,3949558,93960,402761,9.2,8.5,4,6
0,2090844,3270.41,151.44,7627,Fire Force,999645,89,4.92756,2648178,62270,434439,9.3,8.5,4,6
0,2201460,3237.63,273.67,3233,browiec's Wisdom,1053509,87,6.06338,1241253,59774,436897,9.4,9.3,4,6
64,1492011,3214.45,177.77,6011,Chromstrata's Hitoyasumi,705423,32,3.75525,3164472,73457,423214,8,8,4.5,6
0,2060305,3043.99,181.18,6659,I Think You Could Use a Mint,984684,53,5.10753,2250324,63043,433632,9,9,3.8,5.2
0,848345,2984.87,212.34,4643,Sweet Neko,380545,92,5.277,992096,87870,408806,9.3,9,4,6.5
0,1655981,2854.07,360.04,1868,Extreme,781509,85,6.64542,1398051,70985,425590,9.7,9.6,4.2,5.2
0,1627157,2817.21,244.87,3584,Lami's Extra,765778,38,5.72979,1622763,72840,423748,9.4,9.3,4,5.2
0,1764213,2763.18,152.97,7627,Oh no!,842412,30,5.22687,4124943,69720,427022,9,9,3.8,5.2
0,2118445,2640.07,114.53,7133,TheShadow's Dirty Insane,983911,95,4.2536,3289059,60350,436375,8.8,8.5,3.6,5
0,2170029,2616.59,134.65,5742,Indecent Insane,983911,95,4.51566,2588634,60350,436375,9,8.5,4.2,5
0,1762724,2526.51,114.35,6592,Expert,842412,30,4.75176,5564403,69720,427022,9,8.7,3.8,5
0,1608832,2391.65,184.35,6659,heh?,765169,84,5.12912,1680255,73121,423550,9.2,9,3.8,5
72,637549,2389.03,194.48,5622,Insane,251391,86,3.69847,2434260,100982,395688,8.3,7,4,6
64,637549,2384.75,178.55,6011,Insane,251391,86,3.69847,2434260,100982,395688,8.3,7,4,6
