art,t,bpm,s
MIMI feat. Hatsune Miku,Ai no Sukima,204,952409
MIMI feat. Hatsune Miku,Marshmary,182,962088
Reol,No title,200,320118
Turbo,PADORU / PADORU,190,1073074
MIMI feat. Hatsune Miku,Mizuoto to Curtain,186,968171
HO-KAGO TEA TIME,Kira Kira Days,200,444335
55x55,MY REZHEM KINOLENTY (feat. Cut The Crap),125,816264
Drop,Granat,180.96,497769
Will Stetson,Harumachi Clover (Swing Arrangement) [Dictate Edit],170,842412
S3RL,Bass Slut (Original Mix),175,983911
AKINO from bless4 & CHiCO with HoneyWorks,MIIRO vs. Ai no Scenario,195,325158
Komiya Mao,(can you) understand me?,185,765169
Brad Breeck,Gravity Falls Theme Song,165.8,527431
ViViD,HIKARI (TV Size),210,1053509
Aiurabu,Kani*Do-Luck! (TV Size),210,894883
Unknown Artist,Miniministop Hitoyasumi no Uta[Mokuyoubi]Gakusei no Uta,125,705423
KANA-BOON,Silhouette,183,399358
Turbo,PADORU / PADORU,190,1061287
Station Earth,Cold Green Eyes ft. Roos Denayer,174,371128
3 Nen E Gumi Utatan (Nagisa & Kayano & Karuma & Isogai & Maehara),Bye Bye YESTERDAY,180,480765
toby fox,Last Goodbye,180,744772
Tsunamaru,Daidai Genome,135,221954
FELT,In my room,165,206284
Yasuda Rei,Passcode 4854 -TV edit-,140,251391
Chino(CV.Minase Inori),Shinsaku no Shiawase wa Kochira!,175,441155
EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),160,1280506
Colors*Slash,Colors Power ni Omakasero!,200,1115477
Yamajet feat. Hiura Masako,Sunglow,180,1193588
Mrs. GREEN APPLE,Inferno (TV Size),185,999645
Kugimiya Rie. Horie Yui. Kitamura Eri,Orange,140,352714
Icon For Hire,Make a Move (Speed Up Ver.),202.54,765778
Feint,Vagrant (feat. Veela),175,354537
ELISA,Dear My Friend -Mada Minu Mirai e- (TV size),129,471261
DECO*27,Ghost Rule,210,413117
Will Stetson,Despacito ft. R3 Music Box,89,798007
Seth Everman,"how to create the weeknd's ""blinding lights""",171,1207609
Aitsuki Nakuru,Monochrome Butterfly,175,770300
ClariS,Hitorigoto -TV MIX-,165,596704
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika (TV Size),178,921889
DJ Genericname,Dear You,174.11,43466
Sayuri,Sore wa Chiisana Hikari no Youna (TV Size),144,1123162
PassCode,Ray,196,1054931
Meiko,Leave The Lights On (KROT Remix),170,76623
Primary,Sweets Weekend,180,380545
Komiya Mao,(can you) understand me?,185,456986
Vickeblanka,Black Rover (TV Size),204,781509
Fujijo Seitokai Shikkou-bu,Best FriendS,163,249939
Gom (HoneyWorks),Zen Zen Zense,190.1,503141
Shiena Nishizawa,Meaning,190,364401
Avenged Sevenfold,Save Me,190,594170
9mm Parabellum Bullet,Inferno,195,482090
Hisui Rika & Hotarubi Kakeru,Natsu no Hi (Short Ver.),138,41384
Agnete Kjolsrud,Get Jinxed,180,361740
Sayuri,Sore wa Chiisana Hikari no Youna,144,474376
Shiena Nishizawa,Meaning,190,443589
DM DOKURO,SAVE (Encore),180,1440767
ONE OK ROCK,Bombs away,160,737128
SMiLE.dk,Golden Sky,135,50587
HO-KAGO TEA TIME,Kira Kira Days (Cut Ver.),200,1384619
Tanizawa Tomofumi,Sawakaze (TV Size),142,818349
kessoku band,Guitar to Kodoku to Aoi Hoshi,193,1880007
ALiCE'S EMOTiON,Dark Flight Dreamer,189,185250
Sawamura Spencer Eriri (CV.Oonishi Saori),Blooming Lily,142,432290
Yuaru,Asu no Yozora Shoukaihan,185,384772
Meiko,Leave The Lights On (KROT Remix),170,56633
Paul K. Joyce feat. Neil Morrissey,Can We Fix It? (TV Size),134,1061694
Oomori Seiko,JUSTadICE (TV Size),185,950289
SPYAIR,Imagination (TV Size),204,1171789
Will Stetson,Harumachi Clover (Swing Arrangement),170,859783
Cass2,Gravity Falls Theme Song- 16 Bit Mix,166,664315
Nashimoto Ui,AaAaAaAAaAaAAa,192,1017271
Victorious Cast,Take a Hint feat. Victoria Justice & Elizabeth Gillies (Speed Up Ver.),164.08,984684
Parry Gripp,Guinea Pig Bridge,180,1004468
Hanatan,Torinoko City,135,241769
Colors*Slash,Colors Power ni Omakasero!,200,758344
Tashiro Tomokazu,Koi no Hime Hime Pettanko (Karaoke),179,938926
Elmo and Cookie Monster,Cookie-Butter-Choco-Cookie,136,542081
THE ORAL CIGARETTES,Mou Ii kai?,192,807850
55x55,MUZYKA NE MUZYKANTA (feat. Snailkick),125,627629
Inori Minase,Yume no Tsubomi,188,503213
Nogizaka46,Yubi Bouenkyou ~Anime-ban~,180,623924
DragonForce,Through the Fire and Flames,200,382400
nao,Anthem Short Version,138,390071
Syaro(CV.Uchida Maaya),Caffeine Fighter,156,451250
MIMI feat. Hatsune Miku,Mizuoto to Curtain,186,1001653
Nanahira,Tobidase! Sweet Sweet Magic*,180,42837
yuikonnu,Yume Chizu,176,1068768
RADWIMPS,Zen Zen Zense (movie ver.),190,513590
A Zhong Bu Dai Xi,Gu Niang De Jiu Wo,137.5,853469
FLOWxGRANRODEO,7 -seven- -TV SIZE -,170,282345
miwa,chAngE,165,770306
Nanamori-chu * Goraku-bu,Happy Time wa Owaranai,190,773330
toby fox,sans.,128,584575
Goose house,Hikaru nara -TV size-,160,223871
Seiryu,BLUE DRAGON,191,326920
mimimemeMIMI,Harebare Fanfare,168,497942
CHiCO with HoneyWorks,color,180,373114
bradbreeck,Emotional Uplifting Orchestral,77,557532
nano,Bull's Eye (TV Size),197,788233
TheFatRat ft. Laura Brehm,MAYDAY (Nightcore Mix),172.5,754219
DIVELA feat. Hatsune Miku,Beat Syncer,200,1034008
Suzuki Konomi,Realize (TV Size),206,1190710
dj TAKA,quaver,186,873811
HoneyWorks,Akatsuki Zukuyo,180,351280
40mP feat. yuikonnu,Ame to Asphalt,190,842562
Chino(CV.Minase Inori),Shinsaku no Shiawase wa Kochira!,175,443751
Goose house,Hikaru nara -TV size-,160,223180
Roses Epicurean,Yoru no Kodomo tachi,115,325112
YOASOBI,Kaibutsu (TV Size),170,1328989
Ayase Rie,Yuima-ru*World TVver.,180,459149
Ni-Sokkususu,Blade Dance,187,372851
Nanahira,Chikatto Chika Chika,178,942642
SPYAIR,I'M A BELIEVER,194,362718
Agressor Bunx,Tornado (Original Mix),172,236292
Lia,Bravely You (TV Size),150,337527
dark cat,BANANA STREET,154,560047
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,600702
the peggies,Kimi no Sei (TV Size),174,865746
Tanaka Hirokazu,C-TYPE,149.3,757146
Toyosaki Aki,Diamond,174,111760
*namirin,Daidai Genome,135,700726
Yasuda Rei,Passcode 4854 -TV edit-,140,740068
Aqours,Aozora Jumping Heart,200,494768
FELT,In my room,165,399061
Simple Plan,You Suck At Love (Speed Up Ver.),177.65,819112
Tia,The Glory Days,184,391953
Hoshimachi Suisei,Ranbu no Melody (Cut Ver.),192,1483235
FELT,New World,195,407175
REDALiCE,Pekorap Tropical House Remix,110,1224414
ONE OK ROCK,One by One,197,1148073
Kitamura Eri & Nonaka Ai,and I'm home,125,208112
TERRA,EDEN,200,905422
Bentham,Chicago,210,1187933
Brian The Sun,Lonely Go! (TV Size),204,863227
Set It Off,Horrible Kids,170,1249048
Aoi Eir,IGNITE (TV size ver.),171,190222
ClariS,Wake Up -TV MIX-,132,450393
Feint,Tower Of Heaven (You Are Slaves),175,128931
Primastella,Koigokoro,140,127712
Drop,Granat,180.96,720240
ARCIEN,Future Son,150,357466
Intervals,The Self Surrendered,210,517861
KOTOKO,Koi Kou Enishi,144,504995
SirensCeol,Nightmare (Maxin Remix),174,115107
Roromiya Karuta(Hanazawa Kana),sweets parade,206,609311
Avicii,Addicted To You,128,186458
Okazaki Taiiku,Kimi no Bouken (TV Size),200,869019
Three Days Grace,Unbreakable Heart,140,346339
LiSA,ROCK-mode,180,1124391
Yuuki Aoi,Mata Ashita,125,172055
WEAVER,Kuchizuke Diamond,164,368985
Avenged Sevenfold,Save Me,190,866472
Nakanoke no Itsutsugo,Gotoubun no Katachi (TV Size),158,1330999
supercell,Kimi no Shiranai Monogatari,165,289074
AKINO from bless4,MIIRO,195,312042
Sagara Kokoro,Hoshizora no Ima,185,79116
96neko,Uso no Hibana,188,569503
Suzuki Masayuki,DADDY ! DADDY ! DO ! feat. Suzuki Airi (TV Size),138,1147361
MIMI feat. Hatsune Miku,Ai no Sukima (Rock Cover),204,1092468
Little Glee Monster,"Dakara, Hitori ja Nai (TV Size)",180,1129819
Koda Kumi,Guess Who Is Back (TV Size),183,906786
S3RL feat Sara,Techno Kitty,175,345450
AliA,Kakurenbo,180,1158561
kakichoco,Zan'ei,180,1759729
Spira Spica,Sansan Days (TV Size),180,1669877
chano & 40mP,Natsukoi Hanabi (Sped Up Ver.),175.4,1244123
VINXIS,Sidetracked Day,188,838182
positive MAD-crew,Mynarco,181,824205
Trident,Blue Field,135,175968
DZIDZIO,Yalta,128,485903
beatMARIO,Night of Knights,180,352570
amazarashi,Kisetsu wa Tsugitsugi Shindeiku -Tokyo Ghoul Root A Edit-,181,439104
Evoluutiomies,Suklaapallit,129.98,24372
Kano,Stella-rium,177,356821
S3RL feat Mixie Moon,FriendZoned,175,409164
Yusuke,V (TV Size),200,971957
ONE OK ROCK,Start Again,174,1035167
Hana,Sakura no Uta,180,376552
RAISE A SUILEN,HELL! or HELL?,197,1251944
THE ORAL CIGARETTES,ReI,186,754451
"The Kid LAROI, Justin Bieber",Stay,170,1575739
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,652412
Ren feat. Hatsune Miku,"Tougetsu, Rinzen ni Kisu.",190,1418780
Hayley Williams,Airplanes (Feint Drum and Bass Remix),178,1189295
