id,name,ppOld,ppNew,ppDiff,minuteUpdated
758406,dressurf,29607,29253.68,3157,28824033
10790649,Kalkai,28763.9,28508.17,2633,28824033
3935111,Bssd,27862.2,26941.53,1958,28824033
1433586,butanic,27725.5,26897.40,2308,28824033
11420405,Ojisan-,27399.4,26573.66,1938,28824033
10083439,bojii,27551.5,26565.76,1612,28824033
13026904,tyrcs,26351.8,25733.57,1849,28824033
2402586,HanJaeHun,26411.3,25636.09,2543,28824033
12040572,_Ennill,26378.8,25208.04,1337,28824033
766374,LostCool,26073.7,25207.28,2339,28824033
10910337,Stellium,25677.3,24559.36,1220,28824033
6132697,Suzuha_l,25115,24388.64,2699,28824033
10132430,NKEYBOARD,25252.4,24321.12,2056,28824033
19791211,DellyK,24792.2,23771.57,1380,28824033
2071008,yz1155,23446,23702.81,4811,28824033
18282863,HxcQ777,24369.6,23594.94,1210,28824033
7727987,Neokje,24353.8,23575.28,1789,28824033
4477497,cheewee10,24782.6,23554.97,1167,28824033
3155787,MoTeSolo,24646.3,23452.66,519,28824033
9880422,rubyy,24425.2,23424.82,1272,28824033
8046839,Alchemy,24215.3,23165.44,1294,28824033
10512663,af-,24280.5,23114.60,969,28824033
8748664,Arona,24065,22962.28,1344,28824033
137227,ideu-,23874.8,22857.36,1600,28824033
10303887,oct4,24086,22832.45,-504,28824033
17233884,AlterFangirl,23865.7,22802.00,1799,28824033
7985400,Bongearth,23849.1,22790.94,1247,28824033
877011,Berrii,23907.4,22739.37,1284,28824033
14318312,[Crz]Reimu,23821.3,22725.71,1156,28824033
9526558,ZoyFangirl,23836.9,22717.30,942,28824033
3154852,aitor98,23701.3,22644.57,1555,28824033
485007,rainlily,23446.4,22467.82,1691,28824033
7851086,kiaod,23361.5,22408.02,1167,28824033
6117525,ruka,23527.4,22337.03,-107,28824033
24675802,Bunsen,23549.3,22308.70,-166,28824033
7589503,RaffCo,23458.5,22296.76,866,28824033
4980256,Alter-,23487.2,22296.30,954,28824033
7304158,Crusher,23413.9,22256.13,1031,28824033
17932840,Modern,22995.6,21888.55,702,28824033
8716749,Dety,22816.4,21770.94,1436,28824033
12598261,TsukiyaWhiskers,22742,21757.21,959,28824033
8677684,Onta_Bekasi,22761.6,21632.52,576,28824033
5332153,cr1sp,22891.7,21605.49,294,28824033
7195415,wy_,22567.4,21593.81,2082,28824033
12634757,YunJeong_U,22760.4,21525.40,461,28824033
2288363,SillyFangirl,22576.7,21493.48,-183,28824033
7381289,Stink God,22517.4,21372.32,887,28824033
26688450,Luqas678,22480.2,21290.79,274,28824033
10878878,chumpup,22431.6,21281.23,-152,28824033
31323430,seou_,22284.9,21269.91,451,28824033
7082178,[Crz]Satori,22303.8,21231.63,822,28824033
10079171,Epi75,22128,21179.19,1114,28824033
89545,VanWilder,22430.4,21159.89,601,28824033
22791301,_93,22297.8,21154.77,1288,28824033
29511549,tosurashgame,21471.1,21035.20,812,28824033
11290311,Tyronix,22068.6,21006.97,972,28824033
1020304,NkeyZoyDkqehKal,22216.6,20966.21,63,28824033
8534840,DawnX,21459.8,20934.22,-820,28824033
3885626,Motion,21755.9,20740.89,1166,28824033
2722489,Cielo Day,21642.5,20711.34,865,28824033
21744976,Soomin_,20869.6,20637.55,2907,28824033
16012377,[-Tricked-],21765.9,20545.77,-80,28824033
10569738,QingJiDing,21582.8,20539.45,1535,28824033
7354881,karcice,20319.1,20518.38,4277,28824034
5144698,LiangIaiajan,20593.5,20377.09,3508,28824033
3375226,hero_jeff,21552.5,20271.91,277,28824033
3693546,LR2MAG,20954.6,20260.34,1579,28824033
3036686,Sanni,21406.7,20245.83,417,28824033
6968857,[NaNachi],21326.3,20228.70,844,28824033
16270273,[UTGY],21232.5,20222.61,1322,28824033
14952077,yeonho7028,21039.4,20164.81,1127,28824033
11658296,[hgamea],21270.6,20065.10,585,28824033
18664411,Potaterr,21261.1,20040.66,444,28824033
13465246,TheSnowie,21185,20029.64,546,28824033
25393074,Vbpl_167,21127.1,20003.07,510,28824033
15314355,UmmmMrMoo,21223.8,19983.27,262,28824033
16566148,M2UFanboy,20932.7,19963.85,41,28824033
6066359,_Yiiiii,20760.8,19846.18,616,28824033
10137852,Doma - Umaru,19767.5,19845.82,4104,28824034
1033244,jihak0210,21131,19842.91,356,28824033
14281898,RiskyMonster272,21007.2,19821.06,195,28824033
28686998,NXLLIFICATION,21017.5,19814.20,-57,28824033
16162078,Usie,21074.4,19808.15,-228,28824033
2655836,Yanamon,20456.6,19799.71,2375,28824033
18828348,N_Sana,20899.9,19782.98,753,28824033
14516576,LokSG,20586.5,19769.81,439,28824033
8862836,qquark,20799.3,19719.48,414,28824033
18338179,bagjettka,20966.7,19643.79,-189,28824033
18032915,_Harae,20779.4,19630.74,418,28824033
10072733,myucchii,20268.2,19612.88,752,28824034
25826291,RinFall,20735.6,19592.17,281,28824033
7515326,[ M Y S T I C ],20813.2,19578.24,-161,28824033
6336721,[Paw]FIood,20475.3,19572.22,2,28824034
17557759,Lynxaar,20439.1,19571.87,664,28824034
17753835,Hoshimegu Mio,20600.9,19496.80,199,28824033
10329095,VanillaLatte,20822.6,19462.30,-701,28824033
10553101,ilyWinter,20475.5,19440.32,-8,28824033
3874031,longnguyen2004,20633.2,19423.85,-210,28824033
11976455,Enie,20632.3,19416.13,328,28824033
10351684,AWMRone,20624.7,19413.31,124,28824033
4270732,rlarkgus,20061,19397.06,20,28824034
9085137,mama mo,20128.5,19365.61,400,28824034
10231836,Eucal,20544.3,19324.40,439,28824033
16415677,uni3924,20281.2,19235.83,214,28824034
8035811,Nara_S2,20390,19205.55,617,28824034
8902097,DaDarkDragon,19999.9,19174.05,1043,28824034
16235845,Nanhida,20407.1,19153.39,-257,28824034
12028216,mashu,20428.6,19150.96,-396,28824034
16322711,FakeException,20169.2,19125.50,601,28824034
9666710,[EGEJ]Egg_Tart,20264.2,19119.27,774,28824034
20360332,[LS]bambi fnf,20561,19111.96,-1404,28824033
23731514,shioo-,19584.4,19105.73,-339,28824034
13450592,Vylence,20206.3,19099.64,295,28824034
6378800,my angel zhla,20203.3,19058.63,-182,28824034
7486692,decoy-,20309.1,19043.59,-980,28824034
17460326,Fairy-,20012.9,19036.44,818,28824034
4414322,[Style],20158.3,19024.80,101,28824034
16734203,instal,20228.5,19023.80,-557,28824034
7860283,CrewK fanboy,20273.6,19006.91,-287,28824034
26473894,imyeeyee,20369.7,19000.58,-505,28824034
23414371,Mahiru2024,20166.7,18949.44,-262,28824034
9168021,Zuo ma,20004.2,18942.88,324,28824034
3721535,D P,19178.7,18910.60,3370,28824034
5604329,Rio1-,19747.4,18903.30,-172,28824034
5527957,Meiju,20031.1,18856.62,580,28824034
16819909,Arcaxio,20057.9,18848.74,99,28824034
20226914,BondLord,20002.8,18836.49,225,28824034
8768801,Subakba,20047.9,18813.25,482,28824034
12890081,Ryoon,19256.4,18749.51,-1217,28824034
7853143,faz_cL,19972.3,18722.83,-79,28824034
2494747,Windows - Xp,19850.9,18641.82,131,28824034
10400730,-NoName-,19753.9,18637.85,905,28824034
6824258,Dius,19346.1,18632.08,1930,28824034
7590894,ExNeko,19893.6,18606.72,-172,28824034
14626174,badu704,19851.1,18594.84,-561,28824034
13408635,[LynX],19783.1,18546.79,-383,28824034
29621751,0628,19510.3,18537.96,784,28824034
10364342,Exyph,19709.1,18533.32,485,28824034
17721836,Natsurio,19696.5,18520.98,206,28824034
18271627,grillroasted,19999.9,18512.78,-1001,28824034
7156634,karayss,19476.8,18511.95,1172,28824034
16317888,moonfle,19630.2,18479.62,565,28824034
12017594,Leototo,19565.5,18458.21,613,28824034
10332424,Rivariec,19342.5,18411.10,398,28824034
5402803,OutLast,19521.7,18390.32,945,28824034
25024313,[HD]Suisei,19191.2,18385.58,576,28824034
33192317,-Sophie-,19359,18382.02,1552,28824034
28251667,[Crz]bubu,18800.9,18292.98,984,28824034
16207464,tnwl,18819.4,18269.33,2451,28824034
15164383,__User__,19365.1,18245.33,807,28824034
10453382,Nebular,19481.1,18236.26,177,28824034
10011429,[ misa ],19403.9,18209.53,-345,28824034
18707350,7keyEgoist,19354.7,18204.99,-150,28824034
11799958,buenoo,19230.3,18176.83,-737,28824034
20205897,entelecheia,19178.6,18156.77,573,28824034
5684525,_relay,19022.4,18150.07,147,28824034
13847951,Dale940,19175.6,18140.62,-314,28824034
