id,name,ppOld,ppNew,ppDiff,minuteUpdated
7562902,mrekk,32138.7,31844.87,2744,29789839
15406985,Ivaxa,29226,29478.52,2628,29789839
14715160,cryshina,29962.3,29081.89,2058,29789839
9269034,Akolibed,28108.2,27950.39,3074,29789839
10549880,NINERIK,27135.2,26919.82,2491,29789839
13108233,milosz,26633.6,26367.52,2675,29789839
11367222,lifeline,25757.3,25629.24,2202,29789839
4175698,sytho,24583.2,24228.21,921,29789839
13211727,NyanPotato,24408.6,23866.11,362,29789839
12779141,gnahus,24056.8,23683.46,1181,29789839
5033077,Zylice,24023.4,23470.75,1360,29789839
8251785,killer2007,23431.2,23257.79,1355,29789839
7341183,ASecretBox,22907.5,23206.72,1068,29789839
5199332,Chicony,22710.7,23037.51,3638,29789839
21207816,bored yes,23363.8,22587.89,102,29789839
6404583,PLOXARU,22724.9,22493.85,1737,29789839
12137295,jahkon,23540,22416.62,-1149,29789839
8640970,enri,22201.4,22225.97,1494,29789839
19851850,cloppit,22748.2,22043.59,-237,29789839
17235399,superi0r,22005,21993.76,-468,29789839
11496364,JappaDeKappa,22629.6,21897.68,476,29789839
6725771,ferret irl,21862.2,21720.34,1958,29789839
11626318,reused,21588.3,21282.69,1574,29789839
16817965,Kamensh1k,21351.2,21060.64,1520,29789839
25444680,androgenic,22080.7,21053.68,-1627,29789839
12834269,roaz,21609,20995.31,1778,29789839
13767572,Saiyku,21288.7,20982.46,565,29789839
12952320,aimbotcone,20910.9,20950.53,3387,29789839
13962152,creator,21638,20943.33,-36,29789839
12408961,MALISZEWSKI,20466.6,20941.22,3064,29789839
10077431,plambob,21255.5,20780.79,863,29789839
8856806,ChocoPafe,20793.2,20719.89,624,29789839
6600930,yamss,20267.7,20620.15,3930,29789839
15296720,freezes,20595.3,20604.30,261,29789839
4108547,WindowLife,20379.3,20507.70,3007,29789839
9642774,milktea0019,21248.3,20501.53,-19,29789839
8816345,Vudek,21244.2,20387.71,-575,29789839
9938943,aknzx,21217,20369.58,-1102,29789839
12873118,smozhen,21039,20359.39,442,29789839
13051015,Zoxeim,20985.2,20307.09,49,29789839
9074780,atlas,20772.3,20281.70,1294,29789839
12258658,Tsfury,21032.2,20178.93,-262,29789839
17707250,aspen,19372.2,20166.61,5777,29789840
9224078,FlyingTuna,20554.1,20114.48,343,29789839
17730661,OnlyHadley,21076,20033.99,-452,29789839
5339515,Mathi,19281.1,19958.02,3940,29789840
4209965,Bonk,19030.9,19933.98,7569,29789840
4504101,WhiteCat,20065.8,19827.70,2070,29789839
13609904,PinkEyeFan2013,19912.7,19794.77,1947,29789839
3717598,xootynator,19587.8,19776.75,3177,29789839
13057699,z9a,19732.3,19736.82,1474,29789839
14106450,worst hr player,20040,19712.80,1805,29789839
7525949,shimon,20167.8,19629.12,1417,29789839
10651184,MINHOCA LOKA,20025.3,19599.46,-132,29789839
10323184,Flaro,19863.1,19559.47,1202,29789839
10933605,haxor,20147.9,19456.66,-439,29789839
8007528,Raikouhou,19736.5,19455.82,847,29789839
2546001,Intercambing,19638.1,19405.86,966,29789839
8356568,femkitty,20085.5,19314.01,-1328,29789839
11592896,budge,18825.9,19300.08,1357,29789840
7813296,rektygon,19520.6,19295.54,1873,29789839
7918057,Shyot73,19396.4,19262.74,1638,29789840
13300203,yary,19724.5,19247.83,-1115,29789839
12169267,315,18395.7,19206.85,4569,29789840
2291265,Arnold24x24,19287.9,19179.58,1843,29789840
11885405,xan_ly,19445.9,19130.28,1422,29789840
124493,chocomint,18670.2,19128.70,5548,29789840
4882979,Dereban,18651.1,19124.65,4484,29789840
6304246,puppy,18753.8,19110.44,3178,29789840
2675255,hqshe,19901,19104.76,-176,29789839
14215850,bunnylikemoney,19720.2,19042.79,-884,29789839
11443437,[Karcher],19840.3,19022.19,-412,29789839
8868635,Egor,19553.6,19006.48,-437,29789839
6937470,kazamabc,18786.7,18967.99,2950,29789840
8799923,Suyong_,19537.7,18958.49,-260,29789839
7512553,Utami,19245.8,18860.15,908,29789840
11806306,Zyntex,19085.4,18847.72,824,29789840
19072684,nehemiah,19549.2,18830.11,367,29789839
7627844,Mahmood,18207.9,18827.06,3416,29789840
15119977,MouseR1ez,19349.4,18825.47,1040,29789840
16320893,Dever,19018.7,18822.14,897,29789840
2558286,Rafis,19008.9,18817.80,1552,29789840
1419095,Aricin,18422.4,18778.66,3529,29789840
14097024,thank you,18506.1,18770.13,1942,29789840
13216706,gwb,19667.7,18761.05,-519,29789839
2165650,mcy4,19146.3,18740.94,289,29789840
11829390,sakuraskip,18492.9,18712.97,2855,29789840
9849451,NaPiii_,19362,18710.22,-1218,29789840
14676719,TTv_UFO,19032.6,18694.84,1042,29789840
11415687,Kurumiw,19167.3,18691.58,-40,29789840
7342622,Freddie Benson,19286.8,18662.44,-511,29789840
10092099,Pablohh,17550.7,18612.46,7182,29789840
11552867,Welter,18814,18588.30,980,29789840
12130906,[ Master ],19144.8,18588.24,104,29789840
11604978,luciano,18365.5,18571.01,1442,29789840
7959222,majoreh,18621.9,18550.66,2847,29789840
1719471,EZChamp,19051.7,18537.33,1071,29789840
10760701,hexi,18815.7,18458.15,-631,29789840
11159039,Yseri,19204.4,18413.41,115,29789840
12434652,Gonzah,18247.1,18326.37,3096,29789840
5645231,decaten,17985.1,18325.32,3131,29789840
6114695,ciru,18759.8,18301.74,348,29789840
17104779,-bouingue,18808.3,18251.67,-628,29789840
4256461,Riot,18149,18220.64,2138,29789840
4787150,Vaxei,18594.3,18219.01,2118,29789840
5218178,MALTESER,18225.1,18214.70,2193,29789840
9993348,ur cute,18849.8,18197.50,-1400,29789840
5981005,gamer228666,18805.8,18176.31,-811,29789840
20120615,Pipipupu997,18734.9,18174.41,-955,29789840
10916561,coda,18520.8,18111.74,619,29789840
5182050,Bubbleman,17675.8,18073.74,2787,29789840
10613549,Shirosora,17434.1,18071.70,4763,29789840
8472976,Suyung_,18249.8,18055.31,-231,29789840
8075782,ratcho,18620.7,18030.55,-77,29789840
3498155,Zaqqy,17798.1,18028.75,3399,29789840
9896317,RyooYamada,18706.9,18023.29,159,29789840
24409289,Choofy,19133.8,17997.78,-1693,29789840
16616677,CyberOni,17575.3,17976.74,1214,29789840
