id,name,ppOld,ppNew,ppDiff,minuteUpdated
31148838,Sinon_33,27659.4,27342.56,-1485,29790514
3174184,shinchikuhome,27080.2,26555.66,601,29790514
983349,applerss,23924,23300.35,1014,29790514
11680357,kanten_07,23650.7,23044.08,-875,29790514
165027,Peaceful,23845.5,22933.11,-1731,29790514
28599539,Fsi,22662.6,22154.90,-654,29790514
7160196,_Kan2,22818,22065.68,-1240,29790514
9540073,Grape_Tea,22869.7,22014.89,-1232,29790514
9905079,Nurend,22131,21430.32,-1092,29790514
16320311,Eriha,22443.6,21370.51,-1521,29790514
16500346,Syoponjk,22134.9,20983.85,-2195,29790514
19148438,K8107,21197.2,20882.86,253,29790514
14356353,SilverTyrant,21528.1,20851.23,-879,29790514
17834696,Axitng,21608.1,20839.13,-611,29790514
11199742,nameless_ll,20819,20711.31,2327,29790514
37706408,sutea-,21919.9,20614.15,-2652,29790514
21542520,sachiqa,21757.7,20512.43,-2124,29790514
13249305,sourufire,21404.2,20472.69,-1335,29790514
14947043,hz404,21136.8,20442.18,-573,29790514
37347743,txyz,21208.6,20409.56,-577,29790514
11601107,Blaidd,20700.6,20093.37,-1007,29790514
17746140,yuranin,20909.8,20080.11,-1151,29790514
24391475,RKT0729,20841.6,20075.58,-1593,29790514
29485001,sraim,20310,20003.92,357,29790515
37918939,kacchan,20429.7,19959.90,-1968,29790515
8057655,goheegy,20397.9,19938.42,399,29790515
8276884,Devli,19783.4,19869.80,1354,29790515
19328432,HexaMaster,20391.2,19831.51,-82,29790515
30338965,HungryTurtle420,20690.1,19808.96,-1543,29790514
15134794,Selk,20525,19677.47,-2715,29790514
5991961,Ney,19449.1,19627.35,3275,29790515
26475388,sheplet,19995.8,19627.29,709,29790515
15117603,bombjj5,19654.3,19543.38,1664,29790515
12630336,miwoo,20503.3,19542.41,-1499,29790514
12136108,New ZeaIand,20404.9,19485.19,-1469,29790515
21948424,uRR-,19805.7,19462.42,624,29790515
12639462,Golden,20296.2,19364.80,-1911,29790515
12014683,Dizzayy,19979.9,19354.10,-10,29790515
32731855,LeuRu,19958.5,19309.40,-1971,29790515
8484987,Pied wagtail,19856.3,19281.83,-778,29790515
11325757,Shamirin_mzk,20006.8,19172.03,-596,29790515
33898203,shiffon2q,20002.5,19167.66,-1888,29790515
28571440,[Crz]yomogi237,19849.7,19009.63,-2287,29790515
16869472,soruiruna_,19751.3,19002.08,-1328,29790515
14510301,A-40,19939.5,18974.83,-690,29790515
9511518,351,19886.4,18962.12,-938,29790515
28653214,Belial_AISU,19543.3,18902.25,-1198,29790515
15159808,-yukineko-,19871.4,18868.30,-2044,29790515
10079336,cat1346,20005,18840.42,-1579,29790515
35619347,yakisode,19635.5,18802.05,-1153,29790515
30388979,Frostetic,19895.6,18759.80,-2976,29790515
9551196,kiyozi11,19014.5,18730.55,1089,29790515
25734391,CarsqL,19456.4,18707.59,-1659,29790515
1382717,Nekomusya7563,19542.6,18703.82,-1322,29790515
18962176,neah,19236.9,18663.48,-308,29790515
28854025,marusuke75,19571.1,18655.79,-1287,29790515
10072733,myucchii,19613.2,18628.95,-1081,29790515
24587831,My Angel Noah,19595.1,18558.15,-1796,29790515
24748957,SubMessy,19650.8,18554.33,-2449,29790515
15252950,Seren58,18472.5,18460.73,2904,29790515
14254867,Lynerrr,19193.1,18387.03,-1173,29790515
7231722,nananass,18945.8,18383.18,-1075,29790515
8987606,kitafuma,18651.8,18192.61,310,29790515
14553146,kagit,19137.4,18126.53,-1288,29790515
19931117,furry feet,19251.4,18087.34,-2503,29790515
14269506,nevqr,18625.9,18074.45,-751,29790515
16067522,chibamasu,18864.6,18017.18,-489,29790515
11114972,KGYMN2q,18828.7,18016.77,-1938,29790515
36055680,waidabu,18560.4,17985.65,-249,29790515
9119501,ekumea1123,18005.1,17890.61,2873,29790515
9773619,RAI_4,18482,17871.82,-343,29790515
6876752,h1g,18791.1,17871.59,-461,29790515
11563671,4sbet1,18510.9,17828.55,437,29790515
7612550,frukoyurdakul,17898.7,17776.91,1824,29790515
3337332,5henry,18455.7,17752.50,824,29790515
33109610,_tivo,18871.4,17744.69,-2093,29790515
24747565,yukkurinewww,18428.4,17738.82,-787,29790515
9169747,Nathanial,18693.1,17713.84,-1326,29790515
13664116,AuroraPhasmata,18690.1,17706.88,-1873,29790515
15776151,T w i g,18173,17661.30,-483,29790515
7115174,Den4ik228,18446.1,17649.41,-1428,29790515
29780191,Fz2311x,18644.9,17560.42,-2061,29790515
7774222,Akonine,18298.6,17517.65,-661,29790515
3044264,Skid,18252.2,17512.83,-492,29790515
9981017,fujisam,18189.4,17502.72,35,29790515
11260982,YaniFR,18358.9,17498.85,-1164,29790515
14520910,Maimaing,18138.2,17481.30,400,29790515
16650552,HaLTi,18517.5,17481.27,-1521,29790515
26454214,My Angel Eru,17919.5,17455.60,859,29790515
7555792,petterde,18088.4,17438.97,-710,29790515
12874236,cpu_alpha,18055.7,17433.60,211,29790515
